File di log creato il 31 March del 2011 alle ore 5:36 pm

March 31, 2011, 5:36 pm ...! URL attaccata !... IP: 82.59.43.157 | Agent: Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.133 Chrome/10.0.648.133 Safari/534.16 | URL: (http://www.netcoders.org)/blog/viewpost.php?id=2+and+ | Referer: 

March 31, 2011, 5:37 pm ...! URL attaccata !... IP: 82.59.43.157 | Agent: Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.133 Chrome/10.0.648.133 Safari/534.16 | URL: (http://www.netcoders.org)/blog/viewpost.php?id=2+union+select+1,2,3 | Referer: 

March 31, 2011, 5:37 pm ...! URL attaccata !... IP: 82.59.43.157 | Agent: Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.133 Chrome/10.0.648.133 Safari/534.16 | URL: (http://www.netcoders.org)/blog/viewpost.php?id=2+union | Referer: 

March 31, 2011, 5:37 pm ...! URL attaccata !... IP: 82.59.43.157 | Agent: Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.133 Chrome/10.0.648.133 Safari/534.16 | URL: (http://www.netcoders.org)/blog/viewpost.php?id=2+select | Referer: 

March 31, 2011, 5:39 pm ...! URL attaccata !... IP: 82.59.43.157 | Agent: Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.133 Chrome/10.0.648.133 Safari/534.16 | URL: (http://www.netcoders.org)/blog/viewpost.php?id=%3Cscript%3Ealert(a) | Referer: 

March 31, 2011, 5:45 pm ...! URL attaccata !... IP: 82.59.43.157 | Agent: Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.133 Chrome/10.0.648.133 Safari/534.16 | URL: (http://www.netcoders.org)/blog/viewpost.php?id=2+union+all+select | Referer: 

